airport_name,airport_code,city_code,city_name,country_name
Anaa Airport,AAA,AAA,Anaa,French Polynesia
Rabah Bitat Airport,AAE,AAE,Annaba,Algeria
Aalborg Airport,AAL,AAL,Aalborg,Denmark
Al Ain International Airport,AAN,AAN,Al Ain,United Arab Emirates
Anaco Airport,AAO,AAO,Anaco,Venezuela
Andrau Airpark,AAP,AAP,Houston,United States
Anapa Vityazevo Airport,AAQ,AAQ,Anapa,Russian Federation
Aarhus Airport,AAR,AAR,Aarhus,Denmark
Romeu Zema Airport,AAX,AAX,Araxa,Brazil
Al Ghaidah International Airport,AAY,AAY,Al Ghaydah,Yemen
Abakan Airport,ABA,ABA,Abakan,Russian Federation
Abadan Airport,ABD,ABD,Abadan,Iran
Lehigh Valley International Airport,ABE,ABE,Allentown,United States
Abaiang Airport,ABF,ABF,Abaiang,Kiribati
Alpha Airport,ABH,ABH,Alpha,Australia
Abilene Regional Airport,ABI,ABI,Abilene,United States
Port Bouet Airport,ABJ,ABJ,Abidjan,Ivory Coast
Kabri Dehar Airport,ABK,ABK,Kabri Dar,Ethiopia
Ambler Airport,ABL,ABL,Ambler,United States
Northern Peninsula Airport,ABM,ABM,Bamaga,Australia
Albuquerque International Sunport,ABQ,ABQ,Albuquerque,United States
Aberdeen Regional Airport,ABR,ABR,Aberdeen,United States
Abu Simbel Airport,ABS,ABS,Abu Simbel,Egypt
Al Baha Airport,ABT,ABT,Al Baha,Saudi Arabia
Atambua,ABU,ABU,Atambua,Indonesia
Nnamdi Azikiwe International Airport,ABV,ABV,Abuja,Nigeria
Albury Airport,ABX,ABX,Albury,Australia
Southwest Georgia Regional Airport,ABY,ABY,Albany,United States
Aberdeen Dyce Airport,ABZ,ABZ,Aberdeen,United Kingdom
General Juan N Alvarez International Airport,ACA,ACA,Acapulco,Mexico
Bellaire  Antrim County,ACB,ACB,Bellaire,United States
Kotoka International Airport,ACC,ACC,Accra,Ghana
Alcides Fernandez Airport,ACD,ACD,Acandi,Colombia
Lanzarote Airport,ACE,ACE,Lanzarote,Spain
St Gallen Altenrhein Airport,ACH,ACH,Altenrhein,Switzerland
Alderney Airport,ACI,ACI,Alderney,United Kingdom
Nantucket Memorial Airport,ACK,ACK,Nantucket,United States
Araracuara Airport,ACR,ACR,Araracuara,Colombia
Waco Regional Airport,ACT,ACT,Waco,United States
TSTC Waco Airport,CNW,ACT,Waco,United States
California Redwood Coast Humboldt County Airport,ACV,ACV,Arcata,United States
Adana Airport,ADA,ADA,Adana,Turkey
Addis Ababa Bole International Airport,ADD,ADD,Addis Ababa,Ethiopia
Aden International Airport,ADE,ADE,Aden,Yemen
Adiyaman Airport,ADF,ADF,Adiyaman,Turkey
Arandis Airport,ADI,ADI,Arandis,Namibia
Adak Airport,ADK,ADK,Adak Island,United States
Adelaide International Airport,ADL,ADL,Adelaide,Australia
Kodiak Airport,ADQ,ADQ,Kodiak,United States
Gustavo Rojas Pinilla International Airport,ADZ,ADZ,San Andres Island,Colombia
Abemama Atoll Airport,AEA,AEA,Abemama Atoll,Kiribati
Aek Godang Airport,AEG,AEG,Aek Godang,Indonesia
Abeche Airport,AEH,AEH,Abecher,Chad
Aioun el Atrouss Airport,AEO,AEO,Aioun El Atrouss,Mauritania
Sochi International Airport,AER,AER,Adler Sochi,Russian Federation
Alesund Airport,AES,AES,Aalesund,Norway
Alexandria International Airport,AEX,AEX,Alexandria,United States
Esler Regional Airport,ESF,AEX,Alexandria,United States
