iata_code,name
AI,Air India
G8,Go First
6E,Indigo
SG,Spicejet
UK,Vistara
I5,AIR ASIA
EK,Emirates
IX,Air India Express
FZ,Fly Dubai
BA,British Airways
QR,Qatar Airways
GF,Gulf Air
G9,Air Arabia
2T,True Jet
RA,Royal Nepal
UA,United Airways
AC,Air Canada
TC,Air Tanzania
SV,Saudi Arabian
YY,Virgin Wings Airline
VS,Virgin Atlantic
RJ,Royal Jordanian
BG,Biman Bangladesh
AF,Air France
EY,Etihad Airways
TK,Turkish Airline
KQ,Kenya Airways
WY,Oman Air
H9,Himalaya Airlines
SQ,Singapore Airlines
LH,Lufthansa Airlines
ET,Ethopian Airlines
PS,Air Ukraine
UL,Sri Lankan Airlines
SU,Aeroflot
LX,Swiss Inlt
AA,American Airlines
SZ,Somon Air
DL,Delta Airlines
LO,Lot Polish Airlines
TS,Air Transat
7W,Wind Rose Airline
KL,KLM
MS,Egypt Air
WS,West Jet
KU,Kuwait Airways
A3,Aegean Airlines
XY,Flynas Airline
J9,Jazeera Airways
HY,Uzbekistan Airways
AT,Royal Air Maroc
FR,Ryan Air
U2,Easy Jet
S9,Flybig Airline
S7,S7 Airlines
MK,Air Mauritius
TG,Thai Airways
TP,TAP Air Portugal Airline
AZ,Alitalia Airline
NH,All Nippon Airways
VY,Vueling Airlines
X1,Hahn Air
KC,JSC Air Astana
F3,Flyadeal
QF,Qantas Airlines
9M,Central Mountain Air
5H,Fly 540 Airline
WE,Thai Smile
PG,Bangkok Airways
5W,Wizz Sky
AIS,AIS Airlines
NK,Spirit Airlines
7,Express Air Cargo
SL,Thai Lion Mentari
MH,Malaysia Airlines
AY,Finnair
DP,First Choice Airways
DE,Condor Flugdienst
S5,Star Air (India)
WB,Rwandair Express
W6,Wizz Air
EI,Aer Lingus
QP,Akasa Air
HF,
CX,
NZ,
VJ,
B6,
H1,
XQ,
IB,
HV,
BW,
PC,
SN,
OD,
L6,
SK,
TB,
LQ,
AQ,
KE,
OZ,
LA,
VA,
MU,
KR,
AV,
J2,
FJ,
W2,
GA,
VN,
F9,
UX,
HM,
GQ,
8L,
YT,
JL,
P4,
PR,
JQ,
PY,
3K,
WF,
BR,
TU,
MF,
NP,
EW,
CZ,
BS,
A1,
QH,
PW,
OS,
RO,
K6,
8M,
AS,
7C,
KP,
DV,
IZ,
ID,
HC,
5F,
UR,
KX,
PK,
ME,
5Z,
BP,
BI,
LM,
V7,
HX,
DG,
UO,
GE,
4Z,
ZH,
9U,
DT,
G4,
TX,
HA,
AD,
ZL,
FI,
KM,
2W,
AH,
BT,
TO,
TN,
VB,
G3,
D8,
K7,
DY,
OU,
OB,
9B,
6Q,
QV,
PD,
ZG,
RS,
B7,
FY,
TA,
CI,
WO,
Y9,
4N,
F8,
W1,
3L,
9I,
FD,
TR,
DD,
QZ,
AK,
OV,
VZ,
D7,
XJ,
B3,
Y4,
JT,
Z2,
FA,
5J,
QG,
IU,
GK,
/*A,Star Alliance
/*O,Oneworld
/*S,SkyTeam
0B,Blue Air
0J,Premium Jet AG
0Y,FlyYeti
1M,Auto Info System
1X,Branson Air
2A,Deutsche Bahn
2B,Albawings
2C,SNCF
2D,Dynamic Airways
2E,Smokey Bay Air
2F,Fair Aviation
2G,Angara Airlines
2I,Star Peru
2J,Air Burkina
2K,Aerogal
2L,Helvetic Airways
2M,Maya Island Air
2N,Nextjet AG
2O,Island Air
2P,PAL Express
2R,Via Rail
2S,Air Carnival
2U,Sun dOr Airline
2V,Amtrak
2X,Xerox
2Y,Air Andaman
2Z,Passaredo Aeros
3A,Alliance Airline
3B,Binter Cabo Ver
3E,Air Choice
3F,Pacific Airways
3H,Air Inuit
3I,Pison Airways
3M,Silver Airways
3N,Air Urga
3O,Air Arabia
3Q,Carib Aviation
3S,Air Antilles
3U,Sichuan Airlines
3W,Malawian Air
3Y,Uniways
